Model,MSE,RMSE,R2 Score
Ridge,1321783289.0053823,36356.33767316755,0.8276757398183578
LASSO,2500544914.5861564,50005.44884896201,0.6739975788457164
Dynamic LASSO,34617601458.02257,186058.05937400984,-3.5131850358053534
